Time,Event,Entity,Station,Train,Direction,Destination
06:00,Arrives,Passenger_1,Mirasierra,,,Sanchinarro
06:00,Arrives,Passenger_2,La Moraleja,,,Mirasierra
06:00,Arrives,Passenger_3,Sanchinarro,,,Castellana
06:01,Arrives,Passenger_4,La Moraleja,,,Las Tablas
06:01,Arrives,Passenger_5,Sanchinarro,,,Pinar de Chamartin
06:03,Arrives,Passenger_6,Las Tablas,,,Tres Olivos
06:04,Arrives,Train 1,Castellana,Train 1,clockwise,
06:04,Arrives,Passenger_7,Las Tablas,,,Castellana
06:04,Arrives,Passenger_8,Mirasierra,,,Paco de Lucia
06:04,Arrives,Passenger_9,Tres Olivos,,,Montecarmelo
06:05,Arrives,Passenger_10,Paco de Lucia,,,Chamartin (station)
06:05,Arrives,Passenger_11,Paco de Lucia,,,La Moraleja
06:05,Arrives,Passenger_12,La Moraleja,,,Chamartin (station)
06:06,Arrives,Train 2,Castellana,Train 2,clockwise,
06:06,Arrives,Passenger_13,Castellana,,,La Moraleja
06:06,Arrives,Passenger_14,Sanchinarro,,,Paco de Lucia
06:06,Arrives,Passenger_15,Tres Olivos,,,Castellana
06:06,Arrives,Passenger_16,Mirasierra,,,La Moraleja
06:06,Arrives,Passenger_17,Sanchinarro,,,Montecarmelo
06:07,Arrives,Train 1,Chamartin (station),Train 1,clockwise,
06:07,Arrives,Passenger_18,Las Tablas,,,La Moraleja
06:07,Arrives,Passenger_19,La Moraleja,,,Paco de Lucia
06:07,Arrives,Passenger_20,Mirasierra,,,Sanchinarro
06:07,Arrives,Passenger_21,Castellana,,,Chamartin (station)
06:07,Arrives,Passenger_22,Chamartin (station),,,Sanchinarro
06:08,Arrives,Train 3,Castellana,Train 3,clockwise,
06:08,Boards,Passenger_13,Castellana,Train 3,clockwise,La Moraleja
06:08,Boards,Passenger_21,Castellana,Train 3,clockwise,Chamartin (station)
06:08,Arrives,Passenger_23,Las Tablas,,,Mirasierra
06:08,Arrives,Passenger_24,Tres Olivos,,,Sanchinarro
06:08,Arrives,Passenger_25,Las Tablas,,,Tres Olivos
06:09,Arrives,Train 4,Castellana,Train 4,counterclockwise,
06:09,Arrives,Train 2,Chamartin (station),Train 2,clockwise,
