Time,Event,Entity,Station,Train,Direction,Destination
06:00,Arrives,P824672,Tres Olivos,,,Paco de Lucia
06:00,Arrives,P824673,Sanchinarro,,,Mirasierra
06:01,Arrives,Train_5,Castellana,Train_5,counterclockwise,
06:01,Arrives,Train_7,Castellana,Train_7,counterclockwise,
06:01,Arrives,P824674,Las Tablas,,,Montecarmelo
06:02,Arrives,Train_6,Castellana,Train_6,counterclockwise,
06:02,Arrives,Train_8,Castellana,Train_8,counterclockwise,
06:02,Arrives,P824675,Chamartin (station),,,La Moraleja
06:02,Arrives,P824676,Sanchinarro,,,Castellana
06:02,Arrives,P824677,Montecarmelo,,,Castellana
06:03,Arrives,Train_4,Castellana,Train_4,clockwise,
06:03,Arrives,P824678,Sanchinarro,,,Castellana
06:03,Arrives,P824679,Castellana,,,La Moraleja
06:04,Arrives,Train_1,Castellana,Train_1,clockwise,
06:04,Boards,P824679,Castellana,Train_1,clockwise,
06:04,Arrives,P824680,Mirasierra,,,Chamartin (station)
06:04,Arrives,P824681,Montecarmelo,,,Pinar de Chamartin
06:05,Arrives,P824682,Castellana,,,Chamartin (station)
06:05,Arrives,P824683,Chamartin (station),,,La Moraleja
06:06,Arrives,Train_3,Castellana,Train_3,clockwise,
06:06,Boards,P824682,Castellana,Train_3,clockwise,
06:06,Arrives,Train_5,Paco de Lucia,Train_5,counterclockwise,
06:06,Arrives,Train_7,Paco de Lucia,Train_7,counterclockwise,
06:06,Arrives,Train_4,Chamartin (station),Train_4,clockwise,
06:06,Boards,P824675,Chamartin (station),Train_4,clockwise,
06:06,Boards,P824683,Chamartin (station),Train_4,clockwise,
06:06,Arrives,P824684,Castellana,,,Las Tablas
06:06,Arrives,P824685,Paco de Lucia,,,Chamartin (station)
06:06,Arrives,P824686,Sanchinarro,,,Montecarmelo
06:06,Arrives,P824687,La Moraleja,,,Pinar de Chamartin
06:07,Arrives,Train_6,Paco de Lucia,Train_6,counterclockwise,
06:07,Boards,P824685,Paco de Lucia,Train_6,counterclockwise,
06:07,Arrives,Train_8,Paco de Lucia,Train_8,counterclockwise,
06:07,Arrives,Train_1,Chamartin (station),Train_1,clockwise,
06:07,Arrives,P824688,Castellana,,,Paco de Lucia
06:07,Arrives,P824689,Mirasierra,,,Paco de Lucia
06:07,Arrives,P824690,Chamartin (station),,,Sanchinarro
06:08,Arrives,P824691,Tres Olivos,,,Paco de Lucia
06:08,Arrives,P824692,Mirasierra,,,Las Tablas
06:08,Arrives,P824693,Las Tablas,,,Pinar de Chamartin
06:08,Arrives,P824694,La Moraleja,,,Mirasierra
06:08,Arrives,P824695,La Moraleja,,,Montecarmelo
06:09,Arrives,Train_2,Castellana,Train_2,clockwise,
06:09,Boards,P824684,Castellana,Train_2,clockwise,
06:09,Boards,P824688,Castellana,Train_2,clockwise,
06:09,Arrives,Train_3,Chamartin (station),Train_3,clockwise,
06:09,Alights,P824682,Chamartin (station),Train_3,clockwise,Chamartin (station)
06:09,Boards,P824690,Chamartin (station),Train_3,clockwise,
06:09,Arrives,P824696,Montecarmelo,,,Pinar de Chamartin
06:09,Arrives,P824697,Castellana,,,Sanchinarro
06:09,Arrives,P824698,Sanchinarro,,,La Moraleja
06:10,Arrives,Train_5,Mirasierra,Train_5,counterclockwise,
06:10,Boards,P824680,Mirasierra,Train_5,counterclockwise,
06:10,Boards,P824689,Mirasierra,Train_5,counterclockwise,
06:10,Boards,P824692,Mirasierra,Train_5,counterclockwise,
06:10,Arrives,Train_7,Mirasierra,Train_7,counterclockwise,
06:10,Arrives,Train_4,Pinar de Chamartin,Train_4,clockwise,
06:10,Arrives,P824699,Montecarmelo,,,Mirasierra
06:10,Arrives,P824700,Chamartin (station),,,Mirasierra
06:10,Arrives,P824701,Paco de Lucia,,,Sanchinarro
06:10,Arrives,P824702,Mirasierra,,,Montecarmelo
06:10,Arrives,P824703,Montecarmelo,,,Tres Olivos
06:11,Arrives,Train_6,Mirasierra,Train_6,counterclockwise,
06:11,Boards,P824702,Mirasierra,Train_6,counterclockwise,
06:11,Arrives,Train_8,Mirasierra,Train_8,counterclockwise,
06:11,Arrives,Train_1,Pinar de Chamartin,Train_1,clockwise,
06:12,Arrives,Train_5,Montecarmelo,Train_5,counterclockwise,
06:12,Boards,P824677,Montecarmelo,Train_5,counterclockwise,
06:12,Boards,P824681,Montecarmelo,Train_5,counterclockwise,
06:12,Boards,P824696,Montecarmelo,Train_5,counterclockwise,
06:12,Boards,P824699,Montecarmelo,Train_5,counterclockwise,
06:12,Boards,P824703,Montecarmelo,Train_5,counterclockwise,
06:12,Arrives,Train_7,Montecarmelo,Train_7,counterclockwise,
06:12,Arrives,Train_4,Sanchinarro,Train_4,clockwise,
06:12,Boards,P824673,Sanchinarro,Train_4,clockwise,
06:12,Boards,P824676,Sanchinarro,Train_4,clockwise,
06:12,Boards,P824678,Sanchinarro,Train_4,clockwise,
06:12,Boards,P824686,Sanchinarro,Train_4,clockwise,
06:12,Boards,P824698,Sanchinarro,Train_4,clockwise,
06:12,Arrives,P824704,Tres Olivos,,,La Moraleja
06:12,Arrives,P824705,Chamartin (station),,,Tres Olivos
06:12,Arrives,P824706,Montecarmelo,,,Sanchinarro
06:12,Arrives,P824707,Las Tablas,,,Paco de Lucia
06:12,Arrives,P824708,Mirasierra,,,Las Tablas
06:12,Arrives,P824709,Chamartin (station),,,Pinar de Chamartin
06:13,Arrives,Train_3,Pinar de Chamartin,Train_3,clockwise,
06:13,Arrives,Train_6,Montecarmelo,Train_6,counterclockwise,
06:13,Alights,P824702,Montecarmelo,Train_6,counterclockwise,Montecarmelo
06:13,Boards,P824706,Montecarmelo,Train_6,counterclockwise,
06:13,Arrives,Train_8,Montecarmelo,Train_8,counterclockwise,
06:13,Arrives,Train_1,Sanchinarro,Train_1,clockwise,
06:13,Arrives,P824710,Paco de Lucia,,,La Moraleja
06:13,Arrives,P824711,Montecarmelo,,,Chamartin (station)
06:14,Arrives,P824712,La Moraleja,,,Sanchinarro
06:14,Arrives,P824713,Paco de Lucia,,,La Moraleja
06:15,Arrives,Train_5,Tres Olivos,Train_5,counterclockwise,
06:15,Alights,P824703,Tres Olivos,Train_5,counterclockwise,Tres Olivos
06:15,Boards,P824672,Tres Olivos,Train_5,counterclockwise,
06:15,Boards,P824691,Tres Olivos,Train_5,counterclockwise,
06:15,Boards,P824704,Tres Olivos,Train_5,counterclockwise,
06:15,Arrives,Train_7,Tres Olivos,Train_7,counterclockwise,
06:15,Arrives,Train_4,La Moraleja,Train_4,clockwise,
06:15,Alights,P824675,La Moraleja,Train_4,clockwise,La Moraleja
06:15,Alights,P824683,La Moraleja,Train_4,clockwise,La Moraleja
06:15,Alights,P824698,La Moraleja,Train_4,clockwise,La Moraleja
06:15,Boards,P824687,La Moraleja,Train_4,clockwise,
06:15,Boards,P824694,La Moraleja,Train_4,clockwise,
